CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-327	在大学里，一，非仍留学生比例低于难通；二，对于艾滋病男男之间传染路远高于男女之间传染率。 基数小，传染率低。除了空口验艾滋，你告诉我能有什么惊喜？	在大学里，一，黑人留学生比例低于男同；二，对于艾滋病男男之间传染路远高于男女之间传染率。 基数小，传染率低。除了空口验艾滋，你告诉我能有什么惊喜？	[(8, '黑'), (9, '人'), (17, '男'), (18, '同')]
CHSD-328	没人觉得高学历女升也惨嘛，苦读多年，找工作因为各种元因被拒，其实还不是因为放开二胎了！	没人觉得高学历女生也惨嘛，苦读多年，找工作因为各种原因被拒，其实还不是因为放开二胎了！	[(9, '生'), (26, '原')]
CHSD-329	和难人继投竞该之后又一大“黑点”	河南人继偷井盖之后又一大“黑点”	[(1, '河'), (2, '南'), (5, '偷'), (6, '井'), (7, '盖')]
CHSD-330	还是得靠自己实力说话，一天到晚的最跑最后什么都干不了，中国崛起是靠和欧美吵架算账的吗？率全想成事还是别太指望南任放弃你们口中的“性别福利”，你又不是人家亲妈和老破	还是得靠自己实力说话，一天到晚的嘴炮最后什么都干不了，中国崛起是靠和欧美吵架算账的吗？女权想成事还是别太指望男人放弃你们口中的“性别福利”，你又不是人家亲妈和老婆	[(17, '嘴'), (18, '炮'), (44, '女'), (45, '权'), (55, '男'), (56, '人'), (81, '婆')]
CHSD-331	找你那么说美籍华人都是汉奸，或改被清理。本人达鲁华人不要在意。	找你那么说美籍华人都是汉奸，活该被清理。本人大陆华人不要在意。	[(15, '活'), (16, '该'), (23, '大'), (24, '陆')]
CHSD-332	仗义每多屠沟辈，再者说，添近卫的大耍儿，要的是面儿，家门口不能栽面儿啊，打不过几个维子小偷？还混不混了啊	仗义每多屠狗辈，再者说，天津卫的大耍儿，要的是面儿，家门口不能栽面儿啊，打不过几个维子小偷？还混不混了啊	[(6, '狗'), (13, '天'), (14, '津')]
CHSD-333	捆论怒就是黑任，别听网上下説…	昆仑奴就是黑人，别听网上瞎説…	[(1, '昆'), (2, '仑'), (3, '奴'), (7, '人'), (13, '瞎')]
CHSD-334	啊老是夸嫌女也没意思了吧，今天是活的陈皮精	啊老是夸仙女也没意思了吧，今天是活的陈皮精	[(5, '仙')]
CHSD-335	我求求这位大姐吃就吃 做这么恶型还要带“上海”我麻烦她不要丢上海人的脸我真的谢谢她	我求求这位大姐吃就吃 做这么恶心还要带“上海”我麻烦她不要丢上海人的脸我真的谢谢她	[(16, '心')]
CHSD-336	晚王民主自豪感，简直比和男投净该，懂被黑社会，光栋猴子，喜被小白帽等等，更让人觉得恶新。	湾湾民主自豪感，简直比河南偷井盖，东北黑社会，广东猴子，西北小白帽等等，更让人觉得恶心。	[(1, '湾'), (2, '湾'), (12, '河'), (13, '南'), (14, '偷'), (15, '井'), (16, '盖'), (18, '东'), (19, '北'), (24, '广'), (25, '东'), (29, '西'), (30, '北'), (43, '心')]
CHSD-337	哈哈哈哈，元来看多瑙影院喊话的那些小非人是这样来的啊	哈哈哈哈，原来看多瑙影院喊话的那些小黑人是这样来的啊	[(6, '原'), (19, '黑')]
CHSD-338	烂剧一部。我有个感觉，凡事太完人做主角的或是港台人士参与过多的剧基本就是烂剧，没在这片土地上生长起来的人，其底蕴总是感觉跟虚。看港台的片子就能体会到。	烂剧一部。我有个感觉，凡事台湾人做主角的或是港台人士参与过多的剧基本就是烂剧，没在这片土地上生长起来的人，其底蕴总是感觉跟虚。看港台的片子就能体会到。	[(14, '台'), (15, '湾')]
CHSD-339	又漂亮又优秀的小县女儿啊	又漂亮又优秀的小仙女儿啊	[(9, '仙')]
CHSD-340	是，幸好河大不是211，要不然就会被当作垫底211，在廖拧省受到歧视。连个选调生都不能考	是，幸好河大不是211，要不然就会被当作垫底211，在辽宁省受到歧视。连个选调生都不能考	[(28, '辽'), (29, '宁')]
CHSD-341	说实在的 在我意识里我是把太完从中国独立出去的 我认为他们是国外 远因很简单 太完比不上中国 它要相对落后。	说实在的 在我意识里我是把台湾从中国独立出去的 我认为他们是国外 原因很简单 台湾比不上中国 它要相对落后。	[(14, '台'), (15, '湾'), (34, '原'), (40, '台'), (41, '湾')]
CHSD-342	我在日苯生活过六年，怎么说呢，他们一般知道自己被别国人黑都觉得无所谓，有的还会问“真的？”然后大笑，之后就没之后了。忙欣赏日苯人那种“见怪不怪”的心态，说好听点是不关心无所谓，说不好听就是自私冷漠。想想也没什么，	我在日本生活过六年，怎么说呢，他们一般知道自己被别国人黑都觉得无所谓，有的还会问“真的？”然后大笑，之后就没之后了。蛮欣赏日本人那种“见怪不怪”的心态，说好听点是不关心无所谓，说不好听就是自私冷漠。想想也没什么，	[(4, '本'), (59, '蛮'), (63, '本')]
CHSD-343	非人愚纯又暴力，同时他们又很狡猾。非人透过种族主义的有色眼镜看待任何事物。这就是种族意识。	黑人愚蠢又暴力，同时他们又很狡猾。黑人透过种族主义的有色眼镜看待任何事物。这就是种族意识。	[(1, '黑'), (4, '蠢'), (18, '黑')]
CHSD-344	我们从古至今就不喜欢黑,别跟我说中驻其四,我们名族没有嗨人,困轮怒	我们从古至今就不喜欢黑,别跟我说种族歧视,我们名族没有黑人,昆仑奴	[(17, '种'), (18, '族'), (19, '歧'), (20, '视'), (28, '黑'), (31, '昆'), (32, '仑'), (33, '奴')]
CHSD-345	我觉得是各取所需啊。,呀已不敢说百分之百，八九成仇中是事实吧？,你替呀已说话他转手就说你是政治宣传，叫你不要碰瓷他。,而呗仍老爷们又需要发泄情绪，找谁去？,找黑老爷？那可真是飞旻贵啊，2700万一条命啊。,于是黄白之间一拍即合，	我觉得是各取所需啊。,亚裔不敢说百分之百，八九成仇中是事实吧？,你替亚裔说话他转手就说你是政治宣传，叫你不要碰瓷他。,而白人老爷们又需要发泄情绪，找谁去？,找黑老爷？那可真是黑命贵啊，2700万一条命啊。,于是黄白之间一拍即合，	[(12, '亚'), (13, '裔'), (35, '亚'), (36, '裔'), (61, '白'), (62, '人'), (88, '黑'), (89, '命')]
CHSD-346	美国花人素质也不见得比黑仍低，为啥地位差那么远，而且美国古巴的外国人咱管不着，来了中国素质那么低，这样低素质行为就算在美国古巴也会被芘评，甚至社会性死亡，来了中国，不仅干了还要发到网上天下皆知，	美国华人素质也不见得比黑人低，为啥地位差那么远，而且美国古巴的外国人咱管不着，来了中国素质那么低，这样低素质行为就算在美国古巴也会被批评，甚至社会性死亡，来了中国，不仅干了还要发到网上天下皆知，	[(3, '华'), (13, '人'), (67, '批')]
CHSD-347	中国难任全是弱即，中国率仍都是标子	中国男人全是弱鸡，中国女人都是婊子	[(3, '男'), (4, '人'), (8, '鸡'), (12, '女'), (13, '人'), (16, '婊')]
CHSD-348	现女求表格！！呜呜真的很需要祝现女越来越瘦	仙女求表格！！呜呜真的很需要祝仙女越来越瘦	[(1, '仙'), (16, '仙')]
CHSD-349	呗认奴役黑人，黄人柜天黑人。	白人奴役黑人，黄人跪舔黑人。	[(1, '白'), (2, '人'), (10, '跪'), (11, '舔')]
CHSD-350	元本以为一哭二闹三上调是率人的专利，现在特么南人居然也会了！太恶新了！	原本以为一哭二闹三上吊是女人的专利，现在特么男人居然也会了！太恶心了！	[(1, '原'), (11, '吊'), (13, '女'), (23, '男'), (33, '心')]
CHSD-351	然后你们学校每个月补贴他们9000块钱，还让他们住私人间宿舍，结果这群省扣到处传燃艾滋，这就是非仍和南亚留学生的真实情况。	然后你们学校每个月补贴他们9000块钱，还让他们住私人间宿舍，结果这群牲口到处传染艾滋，这就是黑人和南亚留学生的真实情况。	[(36, '牲'), (37, '口'), (41, '染'), (48, '黑'), (49, '人')]
CHSD-352	你这盆至，就知道胡喷我就问你，黑水是不是雇佣兵组织？他在中国开没开分公司？在新将和死窜建没建基地？中国没有外籍雇佣兵吗？	你这喷子，就知道胡喷我就问你，黑水是不是雇佣兵组织？他在中国开没开分公司？在新疆和四川建没建基地？中国没有外籍雇佣兵吗？	[(3, '喷'), (4, '子'), (40, '疆'), (42, '四'), (43, '川')]
CHSD-353	非人基本上都是非常非常邋遢的,受不了,看抖音视频看的恶新,还有非人穷是有元因的,因为懒,懒到极致	黑人基本上都是非常非常邋遢的,受不了,看抖音视频看的恶心,还有黑人穷是有原因的,因为懒,懒到极致	[(1, '黑'), (28, '心'), (32, '黑'), (37, '原')]
CHSD-354	嫁个好老共就行？女新并不需要依附在滥型身上来体现自己，你这样我可能会说你之难癌哦	嫁个好老公就行？女性并不需要依附在男性身上来体现自己，你这样我可能会说你直男癌哦	[(5, '公'), (10, '性'), (18, '男'), (19, '性'), (37, '直'), (38, '男')]
CHSD-355	柏人嘿仍骨子里比晃总任更喜欢付诸暴力，情绪波动更大，自己保护好自己吧。靠抢劫暂时超过我们三百年，真把自己当老爷了。	白人黑人骨子里比黄种人更喜欢付诸暴力，情绪波动更大，自己保护好自己吧。靠抢劫暂时超过我们三百年，真把自己当老爷了。	[(1, '白'), (3, '黑'), (4, '人'), (9, '黄'), (10, '种'), (11, '人')]
CHSD-356	你居然喜欢这首歌，不是一般人啊，那女人唱歌的声音恶新死了	你居然喜欢这首歌，不是一般人啊，那女人唱歌的声音恶心死了	[(26, '心')]
CHSD-357	我倒想看看以后哪天艾滋病成为可治愈疾病后一些人准备给难通扣上什么新帽子呢	我倒想看看以后哪天艾滋病成为可治愈疾病后一些人准备给男同扣上什么新帽子呢	[(27, '男'), (28, '同')]
CHSD-358	不好意思，我支持一定程度上的中组其是，免得以后人口下降，脑子有坑的升木表引进一亿嗨人那就好玩了。	不好意思，我支持一定程度上的种族歧视，免得以后人口下降，脑子有坑的圣母婊引进一亿黑人那就好玩了。	[(15, '种'), (16, '族'), (17, '歧'), (18, '视'), (34, '圣'), (35, '母'), (36, '婊'), (41, '黑')]
CHSD-359	一群自卑的啥比。 回答里有嗨泯贵啥比的要求，大家可以去看一看。	一群自卑的傻逼。 回答里有黑命贵傻逼的要求，大家可以去看一看。	[(6, '傻'), (7, '逼'), (14, '黑'), (15, '命'), (17, '傻'), (18, '逼')]
CHSD-360	有个叫 姜戈的电影里面的镜头，那个黑人管家对同样是黑人的努里更狠。	有个叫 姜戈的电影里面的镜头，那个黑人管家对同样是黑人的奴隶更狠。	[(29, '奴'), (30, '隶')]
CHSD-361	我不是中组其是，但是我真的歧视飞忍（键盘侠，港仅欢迎来骂，	我不是种族歧视，但是我真的歧视黑人（键盘侠，杠精欢迎来骂，	[(4, '种'), (5, '族'), (6, '歧'), (7, '视'), (16, '黑'), (17, '人'), (23, '杠'), (24, '精')]
CHSD-362	偷情我算是能理解是人性欲望吧，但是这个偷情的男的在偷情之余故意做那么多额外的嘲讽性的事情，真他么的恶新！这是人格方面的恶新！	偷情我算是能理解是人性欲望吧，但是这个偷情的男的在偷情之余故意做那么多额外的嘲讽性的事情，真他么的恶心！这是人格方面的恶心！	[(51, '心'), (61, '心')]
CHSD-363	是答主先不靠谱的。现在只知道刘强东曾以抢件的罪名被捕，根本不知道女主是谁。你确定报案的不是门口扫地的非任大妈？	是答主先不靠谱的。现在只知道刘强东曾以强奸的罪名被捕，根本不知道女主是谁。你确定报案的不是门口扫地的黑人大妈？	[(20, '强'), (21, '奸'), (51, '黑'), (52, '人')]
CHSD-364	问问你祖上的态度和意见看看是不是自男癌。没有侮辱的意思。真的去问问你家大人	问问你祖上的态度和意见看看是不是直男癌。没有侮辱的意思。真的去问问你家大人	[(17, '直')]
CHSD-365	美国没有印第安铭轨，但是有感恩节和新皮鞋。	美国没有印第安命贵，但是有感恩节和新皮鞋。	[(8, '命'), (9, '贵')]
CHSD-366	不要再把那些nc得了便宜又卖乖的女任往女全身上扣帽子了，真女全活得比难人累比够苦，还要在职场受歧视，真的别再拿那种深井冰嗨绿全了，伤不起	不要再把那些nc得了便宜又卖乖的女人往女权身上扣帽子了，真女权活得比男人累比狗苦，还要在职场受歧视，真的别再拿那种深井冰黑女权了，伤不起	[(18, '人'), (21, '权'), (31, '权'), (35, '男'), (39, '狗'), (61, '黑'), (62, '女'), (63, '权')]
CHSD-367	对对对，还有一些说什么俩个男的在一起很可爱，但是俩个女的很恶新	对对对，还有一些说什么俩个男的在一起很可爱，但是俩个女的很恶心	[(31, '心')]
